key,en,es,pt_BR,pl
LANGUAGE_NAME,English,español,português (brasileiro),polski
LANGUAGE_DIRECTION,ltr,ltr,ltr,ltr
GAME_TITLE,Botanist on Board,Botánico a Bordo,Botânico a Bordo,Botanik Na Pokładzie
STUDIO_TITLE,Taza Studio,Taza Studio,Taza Studio,Taza Studio
JOURNAL_TEXT_SCIENTIFIC_NAME,Scientific Name,Nombre Científico,Nome Científico,Nazwa naukowa
JOURNAL_TEXT_COMMON_NAME,Common Name,Nombre Común,Nome Comum,Nazwa zwyczajowa
JOURNAL_TEXT_EDIBILITY,Edibility,Comestibilidad,Comestibilidade,Jadalność
JOURNAL_TEXT_DESCRIPTION,Description,Descripción,Descrição,Opis
JOURNAL_TEXT_SPOREPRINT,Spore Print,Esporada,Impressão,Wysyp zarodników
JOURNAL_TEXT_IMPRESSION,Leaf Print,Impresión,Impressão,Odcisk
JOURNAL_TEXT_PAWPRINT,Pawprint,Huella,Pegada,Odcisk łapy
JOURNAL_TEXT_WING,Glue wing here.,Encole el ala aquí.,Cole a asa aqui.,Tu przyklej skrzydło.
JOURNAL_TEXT_QUEEN,Sketch of queen.,Boceto de reina.,Esboço da rainha.,Szkic królowej.
JOURNAL_TEXT_FISHSCALE,Glue scale here.,Encole la escama aqui.,Cole escamas aqui.,Tu przyklej łuskę.
JOURNAL_TEXT_WEB,Sketch of web pattern.,Boceto de telaraña.,Esboço da teia.,Szkic pajęczyny.
JOURNAL_TEXT_FEATHER,Feather,Pluma,Pena,Pióro
JOURNAL_TEXT_SKETCH,Sketch,Bosquejo,Esboço,Szkic
JOURNAL_UI_PAGE,p. {number},pág. {number},pág. {number},str. {number}
INPUT_WALK_LEFT,Walk Left,Ametrallar a la izquierda,Andar para esquerda,Idź w lewo
INPUT_WALK_RIGHT,Walk Right,Ametrallar a la derecha,Andar para direita,Idź w prawo
INPUT_WALK_FORWARD,Walk Forwards,Caminar,Andar para frente,Idź w przód
INPUT_WALK_BACKWARD,Walk Backwards,Retroceder,Andar para trás,Idź w tył
INPUT_USE,Use,Usar,Usar,Użyj
INPUT_INTERACT,Interact,Interactuar,Interagir,[]
INPUT_OPEN_JOURNAL,Open Journal,Abrir su Cuaderno,Abrir sua Caderneta,Otwórz dziennik
INPUT_PAUSE,Pause Game,Pausar el Juego,Pausar o Jogo,Zapauzuj
INPUT_RUN,Run,Correr,Correr,Bieg
INPUT_JUMP,Jump,Saltar,Pular,Skok
INPUT_CROUCH,Crouch,Agacharse,Agachar,Kucanie
INPUT_MOUSE_SENSITIVITY,Mouse Sensitivity,Sensibilidad,Sensibilidade do mouse,Czułość myszy
MENU_QUIT_DESKTOP,Quit to Desktop,Cerrar,Sair do Jogo,Wyjdź na pulpit
MENU_QUIT_MENU,Quit to Menu,Ir al Menú,Ir para o Menu,Wyjdź do menu
MENU_QUIT_WINDOW,Close,Cerrar,Fechar,Zamknij
MENU_UNPAUSE,Unpause,Reanudar,Voltar ao Jogo,Odpauzuj
MENU_OPTIONS,Options,Opciones,Opções,Ustawienia
MENU_OPTIONS_CONTROLS,Controls,Controles,Controles,Sterowanie
MENU_OPTIONS_DISPLAY,Display,Pantalla,Tela,Ustawienia ekranu
MENU_OPTIONS_FOV,FOV,FOV,Campo de visão (FOV),Pole widzenia
MENU_OPTIONS_FULLSCREEN,Fullscreen,Pantalla completa,Tela cheia,Pełny ekran
MENU_OPTIONS_MUSIC_VOLUME,Music volume,Volumen de la música,Volume da música,Głośność muzyki
MENU_OPTIONS_SOUND,Sound Options,Opciones de sonido,Opções de Som,Ustawienia dźwięku
MENU_OPTIONS_VIDEO,Video Options,Opciones de vídeo,Opções de Vídeo,Ustawienia graficzne
